app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Shopify POS,App Store,LJR.AU,2,2019-07-18T15:53:18-07:00,Love it!,"We use POS for our pop up shops through Australia and its been nothing but amazing. 
The only thing that could make it better is barcode password for staff instead of numbers.",,5.32.0,,,
Shopify POS,App Store,sall00,1,2019-06-25T20:46:13-07:00,Keeps crashing,New update keeps crashing. Disappointing.,,5.29.0,,,
Shopify POS,App Store,Allsdeapps,1,2019-05-10T03:22:12-07:00,Garbage,What is up with Shopify and making the most useless software where you need 1000 apps to get anything done properly.,,5.22,,,
Shopify POS,App Store,Lachlan7,2,2018-11-07T14:53:58-07:00,Requires some development still,"Shopify POS is sluggish when processing transactions. We have download internet speed of over 100mbps yet the pos takes a long time to process (compared to square).
In Australia our staff would like to see:
- Integrated with payment eftpos terminals such as tyro
- Fast transaction button to quickly take cash/card. There are too many buttons/pages to press in one transaction. Especially when you try square and their system is so quick and easy!
- Drag and drop products on the homescreen instead of them listed in alphabetical order
- Staff login needs improving. The pin system isn’t efficient as with multi sites and huge staff, pin codes are taken and easy to use another persons login

For the money you pay for POS being $50 usd per month, you would expect a better faster, easy pos system.",,5.2.2,,,
Shopify POS,App Store,IvanXSH,4,2018-09-26T21:50:07-07:00,Great app but found a Bug,"Great App after adding the multiple location inventory function.

Found a bug: Cannot choosing collections when iPad ‘Guided Access’ function started.

Thanks",,5.1.0,,,
Shopify POS,App Store,Bluebirdfreebird,1,2018-09-07T03:50:00-07:00,Won’t load,"Won’t import my store, continually asks to retry and still won’t load store even after reinstall. Might have to change back to my wix store so I can use POS at markets again instead of losing sales",,5.0.2,,,
Shopify POS,App Store,Diluxdi,2,2018-07-19T10:20:09-07:00,It’s ok,Would love the ability to import customer details from stored phone records and to take part payments on invoices. Good but could be awesome with some work,,4.8,,,
Shopify POS,App Store,dollwise,3,2018-07-18T14:34:45-07:00,New to Shopify,I love the functionality of this system and how intuitive it is. It would be so much better if I could add the wholesale cost of an item to the backend. This would make stocktake so much easier and end of financial year reports a breeze. Please consider adding this to further enhancements.,,4.7.6,,,
Shopify POS,App Store,DylMusicMan,1,2018-04-18T06:12:29-07:00,"4 years, still no cash rounding","Been using Shopify for almost 4 years but have encountered non-stop accounting workload since opening a physical store in 2016, all because this app STILL doesn’t have cash rounding. Every time I ask, I get told “it’s on the roadmap”. Oh well. At least I’m moving my business to an app that works.",,4.5,,,
Shopify POS,App Store,Mcintyreslady,4,2018-02-20T16:26:33-07:00,"Great app, except missing one big business criteria.",Have been enjoying the App and how organized I can keep my sales and inventory. I love the instant receipts to my customers.  My only issue is I have no way to enter my costs and get reports on profits from my sales. This would be ideal.,,4.3,,,
